,2020-09-30,2019-09-30,2018-09-30,2017-09-30
Intangible Assets,7000000.0,15000000.0,34000000.0,55000000.0
Capital Surplus,1567000000.0,1567000000.0,1567000000.0,1567000000.0
Total Liab,63682000000.0,63089000000.0,60374000000.0,54476000000.0
Total Stockholder Equity,94920000000.0,90494000000.0,82989000000.0,76906000000.0
Other Current Liab,28557000000.0,25234000000.0,25577000000.0,23606000000.0
Total Assets,158602000000.0,153583000000.0,143363000000.0,131382000000.0
Common Stock,712000000.0,712000000.0,712000000.0,712000000.0
Other Current Assets,9648000000.0,3340000000.0,4628000000.0,13018000000.0
Retained Earnings,91923000000.0,87591000000.0,80103000000.0,74028000000.0
Other Liab,3881000000.0,3118000000.0,2759000000.0,2623000000.0
Good Will,282000000.0,282000000.0,282000000.0,282000000.0
Treasury Stock,718000000.0,624000000.0,607000000.0,599000000.0
Other Assets,18602000000.0,15133000000.0,18249000000.0,14544000000.0
Cash,19174000000.0,7125000000.0,8863000000.0,28377000000.0
Total Current Liabilities,58588000000.0,59971000000.0,57615000000.0,51853000000.0
Deferred Long Term Asset Charges,2524000000.0,2442000000.0,2697000000.0,2482000000.0
Other Stockholder Equity,718000000.0,624000000.0,607000000.0,599000000.0
Property Plant Equipment,12551000000.0,12477000000.0,13079000000.0,13664000000.0
Total Current Assets,127160000000.0,125676000000.0,111719000000.0,102837000000.0
Net Tangible Assets,94631000000.0,90197000000.0,82673000000.0,76569000000.0
Short Term Investments,38454000000.0,43325000000.0,28436000000.0,12882000000.0
Net Receivables,48679000000.0,60577000000.0,58204000000.0,38295000000.0
Inventory,11152000000.0,11197000000.0,11504000000.0,10214000000.0
Accounts Payable,27871000000.0,33052000000.0,30582000000.0,26640000000.0
